custs_ids,custs_status,custs_verified,date_features_cted,date_features_uted
BSJPPS7,1,1,8098381.0,8098380.0
3ISHF8M,1,1,8104048.0,8104048.0
Q3IYJX0,1,1,8104629.0,8104628.0
09Z9QF9,1,1,8106720.0,8106720.0
BROQAX6,1,1,8108411.0,8108411.0
E9QLAHC,1,1,8108859.0,8108858.0
XCPFGA9,1,1,8110802.0,8110801.0
VGAYR39,1,1,8111353.0,8111352.0
ZW3GSK3,1,1,8113459.0,8113458.0
SMSZ1HJ,1,1,8113883.0,8113883.0
EI5BHI8,1,1,8114006.0,8114006.0
J3W8CE1,1,1,8114461.0,8114461.0
JXNJKYC,1,1,8114625.0,8114625.0
QZNR6PF,1,1,8115802.0,8115802.0
HDEPQ9O,1,1,8117348.0,68077257.0
NDODUQW,1,1,8117511.0,8117511.0
H6O4R86,1,1,8124027.0,8124026.0
C2VNC3Z,1,1,8126713.0,8126712.0
IKMK980,1,1,8127528.0,62973408.0
N20NE9Z,1,1,8134364.0,8134363.0
HH8JUK3,1,1,8135383.0,8135382.0
6YT13BS,1,1,8136294.0,8136293.0
436H5RZ,1,1,8143440.0,8143440.0
7NGMW1A,1,1,8145871.0,8145871.0
309N6DD,1,1,8145874.0,8145874.0
COMQ74L,1,1,8151701.0,8151700.0
KF9OBAC,1,1,8153296.0,8153296.0
OM4LWMM,1,1,8169811.0,8169810.0
6QHK8GD,1,1,8169876.0,8169876.0
P9L79BG,1,1,8172458.0,8172457.0
RCBQXNX,1,1,8181002.0,8181002.0
P8FBGL6,1,1,8187573.0,8187572.0
NZWUHNA,1,1,8195086.0,8195086.0
CIVPXLC,1,1,8200174.0,8200173.0
X02L5G7,1,1,8201934.0,8201934.0
GH8JZZC,1,1,8202394.0,8202394.0
CL2MLEH,1,1,8204448.0,8204447.0
BBJ3LU6,1,1,8213656.0,8213655.0
VNFCJZS,1,1,8215518.0,8215517.0
7K92VJR,1,1,8215759.0,8215758.0
6MIH95A,1,1,8225010.0,8225010.0
LZV17OZ,1,1,8225366.0,8225366.0
ZMD2BCF,1,1,8270084.0,8270083.0
KMX3P90,1,1,8272794.0,8272793.0
21PLDLP,1,1,8290434.0,8290434.0
TCPPV08,1,1,8309318.0,8309317.0
D5CW6XN,1,1,8311203.0,8311203.0
TNUERF8,1,1,8369786.0,8369786.0
3JH0AKZ,1,1,8376785.0,8376785.0
BBZ26N2,1,1,8377293.0,8377293.0
9XB689V,1,1,8388188.0,8388188.0
LYUH1JP,1,1,8412932.0,8412931.0
NBIFJN3,1,1,8417563.0,8417562.0
6WAXZAK,1,1,8450793.0,8450792.0
NOEGL69,1,1,8460666.0,8460666.0
OL1RW8I,1,1,8464577.0,67805263.0
JHLR9GG,1,1,8465237.0,57476843.0
4NRQUH5,1,1,8476548.0,8476547.0
VQG9HWA,1,1,8477959.0,8477958.0
R5VAHM9,1,1,8486810.0,8486810.0
J3742VA,1,1,8495218.0,8495218.0
5G6U9FA,1,1,8498273.0,8498272.0
4YP9UQV,1,1,8529943.0,8529942.0
LSPMIA5,1,1,8537970.0,8537969.0
X2SRCVC,1,1,8550547.0,8550547.0
DU64UUG,1,1,8556924.0,8556924.0
UT3CHV1,1,1,8567989.0,60146620.0
6RNCMHE,1,1,8569360.0,8569359.0
CFY1OSM,1,1,8576866.0,8576866.0
I8CFQCO,1,1,8595105.0,8595105.0
SYW8J2T,1,1,8598566.0,8598566.0
TLZI5DG,1,1,8641815.0,8641815.0
AQVJ0U6,1,1,8648762.0,8648761.0
FDMXQWB,1,1,8675667.0,8675667.0
JIB0U73,1,1,8691179.0,8691178.0
YLURF01,1,1,8716849.0,8716849.0
1ZFIZA1,1,1,8801510.0,8801509.0
N0WZSNI,1,1,8805796.0,8805796.0
XIHMYYC,1,1,8814307.0,67456616.0
XB62AZK,1,1,8816457.0,64290082.0
VVWXIRR,1,1,8816819.0,8816818.0
RR3GR55,1,1,8820803.0,8820803.0
TI2FHS7,1,1,8825161.0,8825160.0
0ZOSDTW,1,1,8827476.0,8827475.0
D1AH556,1,1,8847841.0,60132617.0
P5P5CXP,1,1,8874422.0,8874421.0
W34AAST,1,1,8878579.0,8878579.0
D6N33XL,1,1,8884303.0,8884302.0
AL4FP9X,1,1,8896101.0,8896101.0
PD0GPM8,1,1,8899360.0,8899360.0
XHVKVAR,1,1,8900027.0,8900027.0
RI75J74,1,1,8902167.0,8902166.0
SSABC5J,1,1,8904019.0,8904019.0
FT64I8W,1,1,8907064.0,60163903.0
S0NZ4TA,1,1,8910389.0,8910388.0
MH262ZJ,1,1,8910588.0,8910588.0
FRRFECM,1,1,8912808.0,8912808.0
891G0JF,1,1,8913659.0,8913658.0
VWRGN6D,1,1,8922724.0,8922724.0
CZCMWPJ,1,1,8924967.0,8924967.0
2ZNW19E,1,1,8984776.0,67298202.0
CQ8P71R,1,1,8985589.0,8985588.0
W2S062E,1,1,8991930.0,8991930.0
HX76ORD,1,1,8992236.0,66778480.0
NW957ZB,1,1,8993265.0,8993265.0
4CTHIMV,1,1,9003780.0,9003779.0
BMY0NZ2,1,1,9015421.0,53146224.0
RDP3X9Z,1,1,9051464.0,9051464.0
KQP9O7O,1,1,9055159.0,9055158.0
EUNDPJB,1,1,9057795.0,9057795.0
QAEWDCD,1,1,9077520.0,9077520.0
AGRZ6M3,1,1,9077707.0,9077707.0
RBUY6FK,1,1,9079181.0,9079181.0
K9RCLBK,1,1,9091691.0,9091691.0
QGBNXVF,1,1,9095462.0,9095461.0
EZHVFWU,1,1,9101056.0,54003956.0
U4Z0FJX,1,1,9113431.0,9113431.0
7M90ED1,1,1,9137118.0,9137117.0
4339YRR,1,1,9140501.0,9140500.0
JARQ61W,1,1,9140647.0,9140646.0
BUD7HTQ,1,1,9140683.0,9140682.0
S5FNJFK,1,1,9143051.0,9143050.0
CYLZB6T,1,1,9148045.0,9148045.0
Q10HECU,1,1,9154619.0,62368748.0
LB088QT,1,1,9155612.0,9155611.0
A0FHSXX,1,1,9161757.0,67934699.0
MBW1T33,1,1,9161812.0,9161811.0
XY01EGK,1,1,9162131.0,9162131.0
DLB9U50,1,1,9162293.0,9162293.0
5SZQ6LD,1,1,9164107.0,9164106.0
I30Q3IC,1,1,9171657.0,9171657.0
6HSEKYJ,1,1,9180796.0,9180795.0
1Z39OE6,1,1,9182562.0,66694142.0
JNVC68C,1,1,9191808.0,66781879.0
R2L69T4,1,1,9193794.0,9193793.0
E37GRO6,1,1,9219221.0,9219220.0
APG9SH3,1,1,9228902.0,9228902.0
GSY07AM,1,1,9232032.0,9232032.0
5WTM0J7,1,1,9233697.0,9233696.0
U7U874K,1,1,9239840.0,9239840.0
1PNN772,1,1,9242763.0,9242762.0
7N44YW4,1,1,9248021.0,9248021.0
GEKXYMM,1,1,9249646.0,9249645.0
U9B8HZV,1,1,9265154.0,9265153.0
8POCKLJ,1,1,9271261.0,9271261.0
UV35OAK,1,1,9317981.0,9317981.0
LNYJ1D5,1,1,9318204.0,9318203.0
L3EQF9E,1,1,9322061.0,9322060.0
WZCB5GV,1,1,9322751.0,9322750.0
24Z5I38,1,1,9330428.0,9330427.0
VJPJA98,1,1,9331069.0,65924866.0
CIP0JCS,1,1,9336895.0,9336895.0
PQJ0TSZ,1,1,9340403.0,9340403.0
7JQSUQD,1,1,9342807.0,56963347.0
K4C6IG4,1,1,9343261.0,9343261.0
KKL42CS,1,1,9344931.0,9344931.0
R61TENG,1,1,9348678.0,9348677.0
QPOVXIO,1,1,9349359.0,9349358.0
JF2B2KU,1,1,9354362.0,9354361.0
JJBKVJ2,1,1,9414100.0,9414100.0
5COK58C,1,1,9416845.0,9416845.0
OJQGBV5,1,1,9438012.0,9438012.0
3PJ51PB,1,1,9438045.0,9438045.0
SYDMVYY,1,1,9440406.0,9440405.0
KOYT56F,1,1,9440408.0,9440408.0
7CXH2E3,1,1,9440410.0,9440410.0
LAQ2YKZ,1,1,9441152.0,9441151.0
4O489W4,1,1,9445219.0,9445219.0
R8IVQ28,1,1,9493350.0,9493349.0
BUDJT0F,1,1,9495859.0,9495858.0
DT7V47J,1,1,9496368.0,9496367.0
9NYYQ1C,1,1,9525848.0,9525847.0
0D3N7RS,1,1,9527777.0,9527777.0
NM5WXIK,1,1,9528205.0,9528205.0
AJMGQ25,1,1,9529698.0,60825006.0
1R6GX5R,1,1,9582311.0,9582310.0
LTO3B6B,1,1,9584562.0,9584562.0
2VHP9CX,1,1,9588449.0,9588448.0
D9RC4RF,1,1,9592046.0,9592045.0
2EUUV4F,1,1,9612420.0,9612419.0
LE9EO0W,1,1,9614577.0,9614576.0
YWUO19K,1,1,9616287.0,9616287.0
UPKWQU3,1,1,9620090.0,9620090.0
ABWX483,1,1,9620524.0,9620524.0
ATKRCQW,1,1,9658749.0,60291171.0
VGJFIGM,1,1,9661860.0,9661859.0
OBOA0ZQ,1,1,9670358.0,9670358.0
RV9HRH7,1,1,9688228.0,9688228.0
CBGECFD,1,1,9694294.0,57801962.0
KLP06F8,1,1,9704937.0,9704937.0
R9RKBGG,1,1,9706638.0,9706638.0
SIEQP7L,1,1,9741474.0,9741473.0
I1HTADB,1,1,9744215.0,9744215.0
9QL4EZK,1,1,9752682.0,9752682.0
CI4VWXX,1,1,9763784.0,9763784.0
07SK0NA,1,1,9766951.0,53747501.0
W6G7NG0,1,1,9767775.0,9767775.0
RSF8SH2,1,1,9792085.0,9792085.0
L8XDZK4,1,1,9792840.0,9792839.0
L0MSG6P,1,1,9829831.0,9829830.0
EQ4MMC5,1,1,9837882.0,9837882.0
8T2Z09Y,1,1,9842472.0,9842471.0
G5BQPQ8,1,1,9842477.0,9842476.0
J3CO5UH,1,1,9849451.0,9849450.0
KZ5AP3A,1,1,9851481.0,9851481.0
9IO2H41,1,1,9859583.0,9859583.0
64RPH9S,1,1,9859665.0,9859664.0
3QSWZII,1,1,9867033.0,9867033.0
0JKB7JF,1,1,9867248.0,9867247.0
019RCXR,1,1,9869222.0,9869222.0
DMLXARO,1,1,9871457.0,9871456.0
MAC27U8,1,1,9871577.0,9871577.0
HHHNDWX,1,1,9873358.0,9873358.0
EZFGFKW,1,1,9875953.0,9875952.0
29MW672,1,1,9880266.0,9880265.0
A7ZKLSO,1,1,9880321.0,9880321.0
1B1UIYH,1,1,9880565.0,9880564.0
KBBDWZ2,1,1,9884552.0,9884552.0
YYDJO9X,1,1,9887969.0,64695128.0
V0V4WOW,1,1,9897072.0,9897071.0
BQ8MYQJ,1,1,9930957.0,9930957.0
8XHC09O,1,1,9934749.0,9934749.0
IZF82IN,1,1,9939862.0,9939861.0
AKPA7G4,1,1,9945288.0,9945288.0
IKBMGML,1,1,9947724.0,9947724.0
EGXND5F,1,1,9949464.0,9949463.0
U0W7P2T,1,1,9951861.0,54412092.0
QY5I838,1,1,9957155.0,9957154.0
BMOQI6Y,1,1,9962262.0,9962262.0
FJ4MIOO,1,1,9963447.0,9963447.0
DPAY9SO,1,1,9965782.0,9965781.0
UPE7I5J,1,1,9966373.0,9966372.0
Z09D4RI,1,1,10007011.0,10007011.0
3MOB7K0,1,1,10011835.0,10011835.0
ERNG4ES,1,1,10016279.0,10016278.0
J7QM9B3,1,1,10021528.0,10021527.0
AATK5QM,1,1,10027977.0,10027976.0
HXTPGTX,1,1,10029503.0,10029502.0
WO7TE32,1,1,10029748.0,10029748.0
Y1V9G8F,1,1,10030545.0,10030544.0
ZQOMOVH,1,1,10033931.0,10033931.0
69WYWEC,1,1,10049317.0,10049316.0
WWL7JET,1,1,10051722.0,10051721.0
XKXZTH0,1,1,10053442.0,10053441.0
EAUCO1M,1,1,10058110.0,10058109.0
S1P5AUN,1,1,10102980.0,10102980.0
MNXSPGK,1,1,10106434.0,10106434.0
CV5XZ5P,1,1,10114952.0,10114952.0
FUKCTCF,1,1,10131306.0,10131306.0
GE12MDY,1,1,10134319.0,10134318.0
MZ60652,1,1,10136520.0,10136519.0
J0BD1KL,1,1,10155751.0,10155750.0
LPBOB38,1,1,10182193.0,10182193.0
5NHAOL8,1,1,10193368.0,10193368.0
REACNSC,1,1,10193394.0,10193393.0
N60ECSB,1,1,10200502.0,10200502.0
5D8KL6H,1,1,10203995.0,10203995.0
3Q4ZI86,1,1,10205180.0,10205180.0
V8QGZ3V,1,1,10206114.0,10206113.0
6LKNTQG,1,1,10206148.0,10206148.0
KMSD50M,1,1,10208116.0,10208115.0
FAFY803,1,1,10219994.0,10219994.0
I8G2PHG,1,1,10221098.0,10221097.0
2P3IH0X,1,1,10225062.0,10225062.0
RRCJ5Q3,1,1,10229618.0,10229617.0
PVY5BS5,1,1,10229714.0,10229714.0
GN25E72,1,1,10231442.0,54011526.0
U724OEL,1,1,10260730.0,10260730.0
PVB0EKV,1,1,10281201.0,10281200.0
F8DYBOH,1,1,10289501.0,10289501.0
X4H22QR,1,1,10289566.0,65223156.0
RP6W00K,1,1,10290646.0,10290646.0
KKS6VJO,1,1,10302389.0,10302388.0
P4WDEP3,1,1,10305697.0,10305696.0
90OA8FT,1,1,10313664.0,10313663.0
CSGUKZ8,1,1,10332715.0,10332715.0
T4T3XCP,1,1,10357376.0,10357375.0
6D85YO1,1,1,10377318.0,10377317.0
C4OX2I1,1,1,10377503.0,10377502.0
CAIKI88,1,1,10390139.0,64814766.0
DTP9C22,1,1,10401507.0,10401506.0
C8BADFX,1,1,10437588.0,10437588.0
B0IMDSR,1,1,10445297.0,10445296.0
44YXQ6J,1,1,10450864.0,10450863.0
C0UCF8C,1,1,10477327.0,10477327.0
95Q6A4D,1,1,10478355.0,62094263.0
456MXLM,1,1,10480068.0,10480067.0
K3WSGUM,1,1,10542761.0,10542761.0
DBPQSQY,1,1,10543958.0,10543958.0
BRTO1KT,1,1,10548368.0,10548368.0
72K2FSG,1,1,10567099.0,10567099.0
YE2EIJL,1,1,10628481.0,10628481.0
96RV9KI,1,1,10628483.0,10628483.0
N2PNGFL,1,1,10639039.0,62223711.0
EO0BN2J,1,1,10649787.0,10649787.0
H7Q7Q5R,1,1,10651631.0,10651630.0
Z22L6MK,1,1,10653665.0,10653665.0
B6G76MS,1,1,10654833.0,10654833.0
MVXAYNL,1,1,10654889.0,10654889.0
59HM5MO,1,1,10655825.0,10655824.0
D3W82YY,1,1,10657156.0,10657155.0
ZI8EBAY,1,1,10657188.0,10657187.0
ZZV76GY,1,1,10659134.0,10659134.0
TNV571A,1,1,10713678.0,10713678.0
8WYOTVA,1,1,10714263.0,10714262.0
BHNNKO3,1,1,10723581.0,10723581.0
289WE3C,1,1,10723806.0,67722693.0
Y28RHNU,1,1,10730409.0,10730408.0
GVS9D3L,1,1,10733270.0,10733270.0
04M5T56,1,1,10739775.0,10739774.0
6DS9BY0,1,1,10740299.0,10740299.0
BUIAFFT,1,1,10747644.0,10747644.0
IVRFSLY,1,1,10789014.0,10789013.0
M15WUR8,1,1,10822871.0,10822870.0
A3LEHCR,1,1,10823902.0,61180030.0
HKR3YIQ,1,1,10824295.0,10824294.0
JU8MM2A,1,1,10824460.0,10824460.0
MHG84TR,1,1,10882779.0,10882779.0
AF9UQD1,1,1,10903225.0,10903225.0
H9HFTE5,1,1,10906570.0,10906570.0
XXC3CE7,1,1,10916364.0,10916364.0
9AO6E85,1,1,10945399.0,10945399.0
DC0DDD3,1,1,10976080.0,10976079.0
AOW0DAV,1,1,10978644.0,10978643.0
28IKEN8,1,1,11074757.0,11074756.0
VZS3CRP,1,1,11076023.0,11076023.0
PEZZ105,1,1,11090536.0,11090536.0
8CAR5J8,1,1,11124026.0,11124026.0
MEWDPWH,1,1,11135113.0,11135113.0
QNXWTU8,1,1,11163846.0,11163845.0
ED5PU95,1,1,11217960.0,11217960.0
DQBLSTX,1,1,11227053.0,11227052.0
QFWLNUK,1,1,11236779.0,11236778.0
ISXVCFI,1,1,11249145.0,11249144.0
NRSDAY3,1,1,11252850.0,11252849.0
1BITAMA,1,1,11255055.0,11255054.0
Y2XCCTV,1,1,11270621.0,66797392.0
LCWZGB4,1,1,11327481.0,11327481.0
5856BOM,1,1,11328364.0,11328363.0
PNMR3C9,1,1,11335062.0,11335062.0
FV6T2JP,1,1,11336067.0,61358940.0
PNQM5NC,1,1,11336794.0,11336793.0
F96E2OG,1,1,11349202.0,11349202.0
6A79SJT,1,1,11351087.0,11351087.0
CAK8GFA,1,1,11388824.0,11388823.0
UWD5MXH,1,1,11424245.0,11424245.0
I0U8GE7,1,1,11425292.0,11425292.0
6D2L58A,1,1,11425568.0,11425568.0
1D3HNAE,1,1,11425659.0,11425659.0
8PBQKLH,1,1,11425926.0,11425926.0
7MWBR4X,1,1,11426018.0,11426017.0
O9R55AO,1,1,11426400.0,11426399.0
3UPWKFR,1,1,11428671.0,58429549.0
OARBOK9,1,1,11428946.0,11428945.0
KUOZ86Q,1,1,11429663.0,11429662.0
1P5RQ9H,1,1,11432635.0,11432635.0
6FW2YQB,1,1,11432897.0,11432896.0
6WCL1KT,1,1,11432904.0,11432903.0
AVBGQG6,1,1,11441654.0,11441653.0
1HLSHAP,1,1,11442640.0,11442639.0
EB8AYOL,1,1,11445484.0,11445484.0
UOD3O4W,1,1,11448487.0,11448487.0
ZI1SSGU,1,1,11477620.0,11477619.0
7PPBZOH,1,1,11477846.0,11477845.0
2EKW5I5,1,1,11482062.0,61686805.0
4WA4ETZ,1,1,11483448.0,11483448.0
9S442EK,1,1,11485557.0,11485556.0
3WBL5YL,1,1,11487647.0,11487646.0
C7GSH26,1,1,11493902.0,11493901.0
YVBDU2H,1,1,11494336.0,11494335.0
HGFWQCD,1,1,11501101.0,11501101.0
CMJRI0T,1,1,11504902.0,11504902.0
X71XDMI,1,1,11504907.0,11504907.0
4ABZZJG,1,1,11506398.0,11506397.0
M902C0Y,1,1,11507164.0,11507164.0
G5NQTUH,1,1,11511385.0,11511384.0
1PY2ZQK,1,1,11512307.0,11512306.0
IEP6ZXV,1,1,11546411.0,11546410.0
JBMPVUQ,1,1,11554879.0,11554878.0
2L7LJUK,1,1,11566464.0,11566463.0
ANAUZO1,1,1,11584329.0,11584328.0
BANLMK1,1,1,11588614.0,11588613.0
6UKK89C,1,1,11589772.0,11589772.0
ERER3MP,1,1,11592496.0,11592495.0
M9CURTF,1,1,11596182.0,11596181.0
SLS50UJ,1,1,11598935.0,11598934.0
ETQS9BS,1,1,11600219.0,11600219.0
8E4AQQD,1,1,11660628.0,11660628.0
BXDEYKL,1,1,11660632.0,11660632.0
KGWDU3W,1,1,11660650.0,11660649.0
GUWF8XE,1,1,11660654.0,11660653.0
HNOGP9K,1,1,11660775.0,11660775.0
3L8C1TG,1,1,11665152.0,11665152.0
R8G1BTF,1,1,11671851.0,11671851.0
M2AG46T,1,1,11673127.0,11673127.0
QNBTVMW,1,1,11676251.0,11676251.0
CJ1ZCAP,1,1,11677698.0,11677697.0
MWZ52D1,1,1,11677939.0,11677938.0
GRPWMDA,1,1,11678613.0,11678613.0
UDFYFD9,1,1,11682636.0,11682635.0
ONQQLXA,1,1,11685299.0,11685298.0
AX98XE0,1,1,11733938.0,62312967.0
J3V8TCS,1,1,11738147.0,11738147.0
QLNUI69,1,1,11739209.0,11739209.0
SDJACXQ,1,1,11758613.0,11758612.0
1ZLQALG,1,1,11828183.0,11828182.0
EGXN694,1,1,11846098.0,11846098.0
0WU0PF5,1,1,11847183.0,11847182.0
7UIX240,1,1,11851204.0,11851204.0
ZUK9UHX,1,1,11853427.0,11853427.0
EBUD0MX,1,1,11855633.0,11855632.0
P1578VM,1,1,11861952.0,11861952.0
A0CQVH6,1,1,11862233.0,11862233.0
3AYQ7LI,1,1,11869463.0,11869462.0
IYM8Y0T,1,1,11870126.0,11870125.0
QX4SASZ,1,1,11889299.0,11889299.0
PLW3RCJ,1,1,11895343.0,11895343.0
JY68BSO,1,1,11901231.0,11901231.0
0W2IBUD,1,1,11905328.0,11905327.0
2P7WT28,1,1,11907460.0,11907460.0
RDL2GFF,1,1,11908171.0,61184552.0
3VDWBT7,1,1,11915434.0,11915433.0
CRQ74M6,1,1,11918863.0,11918863.0
X8G4ZLL,1,1,11919108.0,11919107.0
VKTEDXY,1,1,11923508.0,11923508.0
5NSEHD1,1,1,11924679.0,11924678.0
51Y178V,1,1,11925371.0,11925370.0
M3V1TPR,1,1,11931314.0,11931313.0
44DHJSU,1,1,11932196.0,11932196.0
BLZX825,1,1,11935369.0,11935368.0
UACSN8Z,1,1,11935874.0,11935874.0
YZ057ID,1,1,11937523.0,11937523.0
THLAYUV,1,1,11939546.0,11939546.0
17Y9LM3,1,1,11940785.0,11940785.0
F5ZKRH8,1,1,11943566.0,11943565.0
LUQ0N0Q,1,1,11944753.0,61624764.0
57UQ2N4,1,1,11948662.0,11948661.0
3Y9E17C,1,1,11952530.0,11952530.0
SDJHSLI,1,1,11991299.0,11991299.0
REUQVIK,1,1,11995077.0,11995077.0
JU17CHG,1,1,12004143.0,12004143.0
F8G6NOV,1,1,12019362.0,12019362.0
CX546I5,1,1,12021560.0,12021559.0
2RVQCTC,1,1,12023036.0,63871341.0
9WGMQXH,1,1,12027683.0,12027683.0
R3EN1FZ,1,1,12028276.0,12028276.0
1PZD2PL,1,1,12029408.0,12029408.0
2KTZSHK,1,1,12068182.0,12068182.0
O64FAFQ,1,1,12075545.0,12075545.0
KEGXTDU,1,1,12076263.0,12076262.0
NMNBY5W,1,1,12079411.0,12079410.0
FSEEV8G,1,1,12080768.0,12080768.0
CADIASO,1,1,12080830.0,12080829.0
WZ4JW5A,1,1,12084993.0,12084992.0
QH6WROW,1,1,12086157.0,12086157.0
JNVKBOG,1,1,12086264.0,12086263.0
773ZT4T,1,1,12087145.0,12087145.0
DB0ZIXZ,1,1,12087253.0,12087253.0
9S7QZQF,1,1,12087388.0,12087388.0
6QO0ZQK,1,1,12088020.0,12088020.0
QPRKUZD,1,1,12090890.0,12090890.0
DZKFILP,1,1,12092983.0,12092982.0
X0Q633D,1,1,12093421.0,64894040.0
00Z2BPR,1,1,12094871.0,12094870.0
TDL2GFR,1,1,12102787.0,12102786.0
UUSIM9V,1,1,12106831.0,12106831.0
B4A2FNT,1,1,12109810.0,12109809.0
N52Z23T,1,1,12110016.0,12110015.0
KR2INRW,1,1,12113575.0,12113574.0
7P6FL6H,1,1,12113828.0,12113827.0
VBS8O1A,1,1,12116773.0,12116773.0
P56P3ZA,1,1,12118299.0,12118298.0
9CU0DDX,1,1,12118875.0,12118874.0
J5D7TAG,1,1,12119224.0,61886674.0
07OUDRP,1,1,12119858.0,12119858.0
P2C3W96,1,1,12122062.0,12122062.0
P22KXPO,1,1,12122974.0,12122973.0
VEL60S1,1,1,12123487.0,12123486.0
DB481RZ,1,1,12124272.0,12124272.0
5K75FZN,1,1,12124975.0,12124974.0
C29PYN4,1,1,12125134.0,12125133.0
Y1242W5,1,1,12126810.0,12126809.0
9B5JN2N,1,1,12128574.0,62805876.0
DY94U9X,1,1,12132346.0,12132346.0
TGF46AC,1,1,12142552.0,12142551.0
VFO890C,1,1,12148864.0,12148863.0
4AZYXN6,1,1,12156888.0,12156887.0
GAI66EH,1,1,12157770.0,12157769.0
XMPYY3P,1,1,12158214.0,63614905.0
3P6B4EE,1,1,12162167.0,12162166.0
T4ZLW8K,1,1,12164235.0,12164235.0
U32V7GH,1,1,12164279.0,12164279.0
SGPIO7D,1,1,12164351.0,67575632.0
236UXP3,1,1,12165047.0,12165046.0
9YEQRFJ,1,1,12167242.0,12167241.0
UHAQDJB,1,1,12167359.0,12167358.0
A28TUL7,1,1,12168970.0,12168969.0
EMCPAVG,1,1,12169401.0,12169400.0
6AO3I3W,1,1,12170616.0,12170615.0
OTPKHZE,1,1,12171974.0,61679942.0
4HPFJUI,1,1,12172272.0,12172271.0
B0V9CKN,1,1,12173650.0,12173650.0
XHIXYB2,1,1,12174812.0,12174811.0
82YRZH1,1,1,12175751.0,12175750.0
BQG3CJO,1,1,12179470.0,12179469.0
0XCUORA,1,1,12179577.0,12179576.0
GIGJ6AM,1,1,12180347.0,12180347.0
I3VDRPI,1,1,12181996.0,12181995.0
HDKUEUV,1,1,12182397.0,12182397.0
X9YDOK7,1,1,12183351.0,12183350.0
2ETXGFB,1,1,12186103.0,12186103.0
Y06BGCR,1,1,12186329.0,12186329.0
M525AJ9,1,1,12188950.0,12188949.0
37SO8LJ,1,1,12189835.0,67286590.0
Y1PC9L2,1,1,12191503.0,12191502.0
8QN0KVF,1,1,12191983.0,12191982.0
4N052QL,1,1,12192886.0,12192886.0
HG7RC2N,1,1,12193007.0,65507377.0
40EB8TC,1,1,12194249.0,12194249.0
24QJ0WF,1,1,12195339.0,12195339.0
VJO4S5N,1,1,12195523.0,65179668.0
CI0XUOV,1,1,12195732.0,12195732.0
0FYZ6FD,1,1,12198508.0,12198507.0
TO5KEGY,1,1,12198857.0,12198856.0
5BVAQCD,1,1,12199511.0,64813332.0
HFWDZNT,1,1,12203085.0,12203085.0
DFB1R40,1,1,12205756.0,12205755.0
QK6SMBQ,1,1,12214956.0,12214955.0
280OOP5,1,1,12248132.0,12248131.0
HJZIPX9,1,1,12252680.0,12252679.0
NK0FJ3R,1,1,12270070.0,54434634.0
OJG67D8,1,1,12275175.0,12275175.0
0LR2T7M,1,1,12276704.0,12276704.0
IFPQAOO,1,1,12282143.0,12282143.0
