Cid,Locnum,Target
K1W5BWM,4,668
4IT4OTR,0,652
56E72CU,0,841
56E72CU,1,846
56E72CU,2,660
56E72CU,3,663
PT9DHQJ,0,841
PT9DHQJ,1,658
MDCLIFU,0,842
MDCLIFU,1,656
MDCLIFU,2,660
MDCLIFU,3,664
Y5FESJ0,0,841
Y5FESJ0,1,845
Y5FESJ0,2,660
Y5FESJ0,3,664
Y5FESJ0,4,669
Y5FESJ0,5,674
Y5FESJ0,6,678
Y5FESJ0,7,681
Y5FESJ0,8,686
MW3LZJQ,0,840
MW3LZJQ,1,656
I8M1ZU3,0,650
YVPL09J,0,653
O9J3WLF,0,652
IUW9FNB,0,652
FP7SDSW,0,659
SEGALEE,0,653
KD5XLIN,0,659
7BOAB0E,0,652
7BOAB0E,1,656
MMCRUWQ,0,652
EOVPZV6,0,651
EOVPZV6,1,656
EOVPZV6,2,658
OI32WLQ,0,652
OI32WLQ,1,656
OI32WLQ,2,661
OI32WLQ,3,663
BCEYVK9,0,840
TIKG1IC,0,839
49TSFLR,0,692
YQETU2C,0,842
HOW09IS,0,841
HOW09IS,1,845
HOW09IS,2,661
HOW09IS,3,663
4V62PV0,0,653
X4MBHTR,0,652
6WL99YJ,0,651
6WL99YJ,1,656
8EQKTI7,0,839
8EQKTI7,1,845
8EQKTI7,2,660
8EQKTI7,3,666
JFR0W2H,0,652
UB72K2T,0,653
LXOZLGO,0,652
FCL5EY1,0,843
FCL5EY1,1,848
FCL5EY1,2,669
FCL5EY1,3,665
SPAWVT2,0,653
60NXEMG,0,839
DZWOBL0,0,652
B2HJUM7,0,652
7E4F2WJ,0,654
TLNMBJV,0,841
GT7KF34,0,652
O7KWNBZ,0,652
DMIVTI7,0,840
DMIVTI7,1,654
5T9KD3D,0,665
P9G77XK,0,651
EKKEJ6Z,0,841
ZY7FKYL,0,841
6UQS8RI,0,840
6UQS8RI,1,656
6XWZJKR,0,652
6XWZJKR,1,657
HWBNFIZ,0,841
HWBNFIZ,1,657
HWBNFIZ,2,659
MSSPFSU,0,652
72TKJD1,0,650
956TLGA,0,652
CS98TEG,0,840
CS98TEG,1,845
CS98TEG,2,661
CS98TEG,3,665
CS98TEG,4,669
IFGDPEA,0,651
QFZN1U3,0,764
7NDWURV,0,841
7NDWURV,1,655
8L9PNYG,0,651
B09GWOC,0,651
1XG7UP5,0,843
US2LXYC,0,652
1ED70A7,0,653
CNBYW7R,0,651
C5224GN,0,652
VRI1KQV,0,652
HALA646,0,840
HALA646,1,656
DSJRR66,0,652
TJ8X645,0,652
640SCQQ,0,843
640SCQQ,1,657
640SCQQ,2,661
Y9YE4N7,0,653
X9SNNO5,0,653
239M2OQ,0,841
L2BNB92,0,764
KHAHSRR,0,652
JS5M6X5,0,652
WNWDW1R,0,840
WNWDW1R,1,655
PKJNG3Q,0,841
PKJNG3Q,1,657
O3H48E3,0,651
SP8T2HB,0,840
DQTJKLA,0,841
DQTJKLA,1,656
DQTJKLA,2,660
GMJXDT5,0,838
65J13XB,0,763
P0VVV9Q,0,651
64GCAAN,0,841
84FK70M,0,651
AZTWJ19,0,840
AZTWJ19,1,657
2YN6ME1,0,842
O5LZE3S,0,653
M0A7FJZ,0,652
ZH33U24,0,841
1KQ5DY4,0,844
1KQ5DY4,1,656
1KQ5DY4,2,662
W7JRD3R,0,652
TVE2ZOI,0,840
TVE2ZOI,1,845
TVE2ZOI,2,659
TVE2ZOI,3,664
56964DC,0,665
EROVN39,0,839
8HZW8FJ,0,653
MT7N10L,0,653
MZDXLGX,0,652
J6C4XGG,0,841
J6C4XGG,1,845
J6C4XGG,2,661
033FUED,0,841
033FUED,1,657
7MQ8BR5,0,652
K6MKCA6,0,653
OGY80NQ,0,653
OGY80NQ,1,657
CQJALC0,0,651
MH59XWQ,0,841
MH59XWQ,1,845
MH59XWQ,2,849
MH59XWQ,3,665
MH59XWQ,4,669
MH59XWQ,5,674
HR91FHJ,0,652
583UPKW,0,651
583UPKW,1,655
6TKHRNQ,0,652
PGCEB3X,0,839
PGCEB3X,1,846
PGCEB3X,2,661
PGCEB3X,3,664
L5WQ9MF,0,841
L5WQ9MF,1,657
WG5Y5YQ,0,652
DX70K8U,0,840
DX70K8U,1,656
DX70K8U,2,661
LP79UM2,0,652
HWNUEJZ,0,838
GDQDSCK,0,651
OURH5FW,0,651
5UR1MAE,0,839
SDC5OG1,0,653
CWHGBVM,0,652
6O5CZHM,0,651
667EUCB,0,841
VN9FNCR,0,843
0RLNL09,0,842
0RLNL09,1,655
0RLNL09,2,660
0RLNL09,3,665
QO2UQP3,0,841
QO2UQP3,1,656
2LPDY37,0,839
2MWWIZ8,0,842
2MWWIZ8,1,844
2MWWIZ8,2,660
2MWWIZ8,3,665
JQ3WNTC,0,653
5UNSZJ9,0,840
2UD04LS,0,840
2UD04LS,1,844
2UD04LS,2,659
2UD04LS,3,664
84QFSGA,0,650
84QFSGA,1,655
84QFSGA,2,660
AOU55ZP,0,841
AOU55ZP,1,845
AOU55ZP,2,660
F00C536,0,659
PRF4OYC,0,651
DWZWRLO,0,840
DWZWRLO,1,657
CHYI78O,0,841
CHYI78O,1,658
LMGID05,0,651
PJ2T57Q,0,651
7C34B5N,0,652
17ICQY1,0,651
94Y0FDW,0,840
94Y0FDW,1,656
94Y0FDW,2,659
N9QTGK5,0,653
CYS5BZ1,0,652
TXC5UT5,0,653
NTA2T4F,0,652
PEU7PSX,0,652
DDZEHR2,0,841
9TKFMQI,0,652
XU02DWD,0,652
MPKB228,0,654
NLRDLZY,0,652
EBI1SN7,0,651
AZBEVSG,0,651
6ZWJPTE,0,841
HVD4Z9O,0,841
HVD4Z9O,1,656
6OSNHOZ,0,652
VC69SUY,0,841
VC69SUY,1,656
U65R94I,0,652
PYM99U2,0,654
S4VDU06,0,841
S4VDU06,1,657
EPEGFDN,0,842
EPEGFDN,1,657
N7KBQTZ,0,652
GZLQZGK,0,653
2CWJ4NH,0,653
EUUG22M,0,651
UHPQD3A,0,843
UHPQD3A,1,656
OO3STOX,0,840
CYMQ9GK,0,652
0476W6L,0,651
K8BJKIV,0,839
K8BJKIV,1,656
YAME7NN,0,652
BPXY6XZ,0,840
BPXY6XZ,1,843
BPXY6XZ,2,661
BPXY6XZ,3,664
BPXY6XZ,4,670
JWVSZH4,0,842
VEWN402,0,840
OJWTMWG,0,843
0UUJCMD,0,653
H1DEX8B,0,841
H1DEX8B,1,658
JBB50Z0,0,651
5CURRE8,0,653
5CURRE8,1,656
ZIQ75M6,0,651
2NUBGTH,0,651
2NUBGTH,1,656
2NUBGTH,2,661
D1RMQI2,0,651
P0TBO4B,0,840
D84GVOS,0,653
DTLJEYN,0,660
4P10234,0,651
AGX7CR4,0,652
DNDGASK,0,842
DNDGASK,1,657
ZKRNKNS,0,651
B7E3G8T,0,841
7TBC2IP,0,764
7TBC2IP,1,770
NSE06AE,0,654
PAG743J,0,839
PAG743J,1,657
TJYC8SU,0,653
TJYC8SU,1,658
TJYC8SU,2,660
2G5V9LL,0,840
2G5V9LL,1,845
2G5V9LL,2,660
2G5V9LL,3,666
2G5V9LL,4,671
2G5V9LL,5,676
2G5V9LL,6,679
B36PM59,0,840
B36PM59,1,657
SCADXDZ,0,652
OANJLYW,0,651
RDU2X1O,0,842
RDU2X1O,1,656
RDU2X1O,2,661
FQPX9XY,0,652
HFEKCKN,0,652
AOANG46,0,842
S95X8VG,0,651
X8DOD2V,0,651
1X0SSD0,0,840
1X0SSD0,1,845
1X0SSD0,2,659
H9S3XJR,0,651
CG9I5TM,0,765
EDL5S8Q,0,840
D9CQ5GT,0,841
D9CQ5GT,1,846
DJ6JTDP,0,652
BZQ3VQ1,0,651
QB1AT38,0,651
2WEB9E7,0,653
DYYA82W,0,653
3G2YBKW,0,840
3G2YBKW,1,657
UDWNBCH,0,651
3TS5UR4,0,840
D12IQZQ,0,840
D12IQZQ,1,656
E107VY9,0,840
E107VY9,1,844
E107VY9,2,850
E107VY9,3,664
121JYEG,0,841
121JYEG,1,655
121JYEG,2,661
XZPHLEJ,0,653
2QNFTZG,0,840
GLV42M7,0,651
PKG70EU,0,651
7XZG2K1,0,652
VND61GR,0,652
OCCOUP1,0,653
SIT43HT,0,841
SIT43HT,1,657
SZA8GVI,0,840
SZA8GVI,1,844
SZA8GVI,2,661
837K17D,0,841
837K17D,1,657
TOPA07O,0,665
COOO6GI,0,666
TRQ6IX9,0,651
TE47BHZ,0,651
MGHK58Y,0,843
SBWYC5M,0,841
SBWYC5M,1,655
SBWYC5M,2,659
SBWYC5M,3,665
SBWYC5M,4,672
SBWYC5M,5,675
PVRWX0C,0,654
TA8NJY1,0,842
NITIY8P,0,841
NITIY8P,1,654
GLK2H17,0,650
HW9XLUN,0,842
HW9XLUN,1,657
ZLB4T9Z,0,651
4TXGWUM,0,840
4TXGWUM,1,656
4TXGWUM,2,661
4TXGWUM,3,665
4TXGWUM,4,670
CH321U9,0,840
CH321U9,1,656
F8D95XQ,0,652
ZTI3UBY,0,652
V0WF0WA,0,840
V0WF0WA,1,656
V0WF0WA,2,662
4S7V15L,0,653
83FNK2R,0,651
L6UCLSP,0,841
L6UCLSP,1,656
ZIWEUWS,0,840
ZIWEUWS,1,657
QCH57MI,0,839
3B60QGE,0,651
LDTD292,0,653
4UBG26W,0,650
4UBG26W,1,655
T6QYPQQ,0,842
T6QYPQQ,1,846
T6QYPQQ,2,850
T6QYPQQ,3,665
T6QYPQQ,4,669
OTNG02S,0,840
OTNG02S,1,655
OTNG02S,2,658
YSL1PV3,0,652
E1O6T8W,0,842
E1O6T8W,1,846
E1O6T8W,2,659
W2AYDMX,0,839
61363JY,0,651
I8UFFZS,0,650
I8UFFZS,1,669
8M7QEYE,0,840
F50TPY8,0,652
F50TPY8,1,655
F50TPY8,2,660
F50TPY8,3,663
D3VS9S4,0,842
D3VS9S4,1,657
C6DTMP9,0,652
G7B8UQX,0,651
G7B8UQX,1,657
79B29TB,0,839
79B29TB,1,656
LIG08M2,0,651
RL5Z7NG,0,843
HS1KMXP,0,652
7SZ1J02,0,839
7SZ1J02,1,659
7SZ1J02,2,662
O4PLV31,0,653
O4PLV31,1,656
LYFLNFS,0,652
Z068MF4,0,651
X1OW3MU,0,840
X1OW3MU,1,656
RU0F8AY,0,651
RU0F8AY,1,655
RU0F8AY,2,660
VDO44X5,0,841
4GKSZIL,0,653
P9VEUGF,0,653
P09M8A1,0,651
P09M8A1,1,655
GTLDDSY,0,652
V6BIMPG,0,840
V6BIMPG,1,656
FY7V13N,0,653
ZWI6XSB,0,652
SIPRVXL,0,841
SIPRVXL,1,656
SIPRVXL,2,660
SIPRVXL,3,665
4IA7QPB,0,651
Y0JSHKS,0,650
Y0JSHKS,1,656
8NL6MPZ,0,653
8NL6MPZ,1,657
3A38G33,0,765
ABVIZ0W,0,653
5IL69KC,0,653
AAXAB0L,0,841
AAXAB0L,1,655
AAXAB0L,2,659
1KKVIRA,0,840
1KKVIRA,1,845
1KKVIRA,2,662
1FXNUUW,0,840
1FXNUUW,1,658
OR43DKK,0,840
OR43DKK,1,656
PTY8HJ8,0,840
DI9D9X1,0,653
Y536GZ0,0,651
L84IJ25,0,651
Z3IXCZJ,0,652
PM2DYKJ,0,841
PM2DYKJ,1,656
W7TPHCK,0,653
1WFR30Q,0,652
NB0E8VK,0,652
139EQLU,0,841
139EQLU,1,656
69MLTK7,0,652
0EU89CO,0,840
0EU89CO,1,656
0EU89CO,2,661
6O0OKJI,0,651
W4UJU71,0,651
IFGROKT,0,842
EK84O3Q,0,652
DLAWQHO,0,840
SYEKABL,0,652
SYEKABL,1,657
YMCMWJ6,0,839
YMCMWJ6,1,656
5M70U0T,0,651
5W6W8L6,0,664
30RZZNU,0,653
30RZZNU,1,669
LW54CJB,0,654
LW54CJB,1,658
VL7T5MA,0,840
QSWLLPV,0,653
M53GIOS,0,652
1SOGUMI,0,840
1SOGUMI,1,844
1SOGUMI,2,661
1SOGUMI,3,665
1SOGUMI,4,668
1SOGUMI,5,675
1SOGUMI,6,679
XRK8JYY,0,651
653QELH,0,840
S8A2522,0,842
KWUP6FQ,0,652
4BDV90P,0,651
30SI739,0,843
30SI739,1,657
SHZ2BLV,0,841
SHZ2BLV,1,657
SHZ2BLV,2,660
Z6UWBMS,0,841
141VZAS,0,652
YXGGJOL,0,651
YIOC1BH,0,839
YIOC1BH,1,655
PX56TB4,0,840
PX56TB4,1,843
PX56TB4,2,660
PX56TB4,3,665
SPB3KEV,0,651
DXTAB6K,0,841
DXTAB6K,1,656
0DTE1HT,0,651
B45QEHX,0,654
VMNTIEK,0,840
VMNTIEK,1,657
VMNTIEK,2,661
VMNTIEK,3,665
VMNTIEK,4,670
521CA54,0,652
L97AYBP,0,841
L97AYBP,1,658
TOLC8ZJ,0,651
0E9UIPL,0,842
0E9UIPL,1,656
EC79FTI,0,653
0OUW11J,0,841
0OUW11J,1,657
HZZ7TJB,0,651
JK0JL7S,0,839
JK0JL7S,1,656
625QVYS,0,840
625QVYS,1,658
IMZCJEM,0,840
IMZCJEM,1,656
EYWB3NY,0,840
EYWB3NY,1,657
EYWB3NY,2,662
EYWB3NY,3,665
JL4Q07H,0,840
JL4Q07H,1,844
JL4Q07H,2,661
JL4Q07H,3,666
OIIXYEI,0,841
OIIXYEI,1,846
OIIXYEI,2,850
OIIXYEI,3,664
OIIXYEI,4,671
OIIXYEI,5,674
OIIXYEI,6,681
66ADIDE,0,652
OJZF7HZ,0,840
OJZF7HZ,1,658
OYUHZGG,0,840
OYUHZGG,1,656
W93WTXE,0,843
W93WTXE,1,656
059EY7S,0,840
059EY7S,1,657
R5WESN5,0,652
FF41J16,0,651
OUZDUCY,0,651
DGAVS88,0,841
DGAVS88,1,845
4R951K6,0,651
4SNBVMG,0,840
4SNBVMG,1,847
4SNBVMG,2,661
ZFGMIH7,0,841
DV37PMO,0,840
DV37PMO,1,847
SIR5L11,0,651
UQKBX77,0,653
NKIRB3N,0,654
4EXRHUP,0,652
YJPEK0A,0,841
YJPEK0A,1,846
YJPEK0A,2,661
YJPEK0A,3,665
YJPEK0A,4,669
TDKM76V,0,652
7ZXA0PG,0,844
7ZXA0PG,1,657
73KMXHX,0,840
KN9X8RX,0,651
WIX9MV8,0,653
BTZ3ZGX,0,651
BIPU387,0,651
LWDFV93,0,653
8DVFGKY,0,842
8DVFGKY,1,847
8DVFGKY,2,660
8DVFGKY,3,665
4WYM6N8,0,840
4WYM6N8,1,655
4WYM6N8,2,660
4WYM6N8,3,664
4WYM6N8,4,669
B1GCJI0,0,841
UIW5EON,0,651
3WDYGT9,0,841
AHD0J09,0,841
7XEZQR9,0,841
PT88LND,0,651
OB905CL,0,841
OB905CL,1,656
V6LNX4G,0,764
WNKQCQP,0,652
BSHBFP0,0,841
BSHBFP0,1,657
YZHJ70R,0,650
IZ7KQTK,0,649
8B2TA9I,0,841
8B2TA9I,1,655
U7A0AW6,0,840
U7A0AW6,1,658
ROCFZNC,0,841
ROCFZNC,1,656
U0OSTH5,0,841
U0OSTH5,1,656
F2M4KFS,0,652
R2JA45S,0,839
ISKRMQV,0,840
ISKRMQV,1,657
ISKRMQV,2,661
3EIJMDD,0,653
D5LC8ZH,0,653
Z6UQ8IB,0,652
Y090VSU,0,653
0BT3VL3,0,840
0BT3VL3,1,845
0BT3VL3,2,849
0BT3VL3,3,664
0BT3VL3,4,668
0BT3VL3,5,673
MW7KBX0,0,841
07IQ55N,0,659
E0EBP44,0,841
DOYDYFA,0,840
DOYDYFA,1,658
6PEXQ3O,0,841
6PEXQ3O,1,657
X7OAMD4,0,653
DUQ2Q5N,0,651
BDV3LTA,0,840
BDV3LTA,1,655
TOLQEF1,0,651
1PRQ8RT,0,653
TYLP9G7,0,652
HEVA8DU,0,652
QGK3XEC,0,842
Q9IMLKG,0,651
WKKNGZ3,0,653
KS5DBTW,0,841
KS5DBTW,1,656
KS5DBTW,2,662
KS5DBTW,3,666
B02JK71,0,665
RLJCXP3,0,651
J6FTJNE,0,841
J6FTJNE,1,844
UBXY0LC,0,651
PXO7A4Q,0,840
PXO7A4Q,1,844
PXO7A4Q,2,848
PXO7A4Q,3,667
8NAURJF,0,841
27E0XV0,0,763
27E0XV0,1,769
GJ6V1JU,0,652
M7Q4IGC,0,651
FRUI8PH,0,843
R03UG99,0,840
R03UG99,1,845
VSYRDR1,0,651
VSYRDR1,1,658
YCNGH4Z,0,841
YCNGH4Z,1,657
JBU01YH,0,844
G952PZ4,0,840
SCMR7D4,0,652
RP6BMGS,0,653
YAY5UOF,0,652
4C67H2K,0,653
FWC175T,0,841
FWC175T,1,657
FWC175T,2,661
LN5O1CB,0,842
LN5O1CB,1,846
LN5O1CB,2,851
LN5O1CB,3,665
LN5O1CB,4,670
LN5O1CB,5,674
LN5O1CB,6,677
086JC51,0,650
IMCRLJ6,0,841
IMCRLJ6,1,656
HOGRPPC,0,840
HOGRPPC,1,845
HOGRPPC,2,660
HOGRPPC,3,666
SI9Q3UP,0,653
CK5TO6A,0,654
CK5TO6A,1,658
8XOA6WE,0,652
TVMLP5U,0,651
TVMLP5U,1,656
611EU78,0,842
611EU78,1,846
V68XYHR,0,841
V68XYHR,1,657
V68XYHR,2,660
V68XYHR,3,665
4UREMKR,0,764
WOKHEMC,0,652
EF00L3I,0,666
JFFF2T1,0,840
JFFF2T1,1,844
JFFF2T1,2,774
KM2QF1I,0,651
0FAEQO4,0,651
0FAEQO4,1,656
LGF0E5C,0,841
LGF0E5C,1,656
LGF0E5C,2,661
LGF0E5C,3,665
LGF0E5C,4,671
LGF0E5C,5,674
ED4KBRY,0,652
0VS80WG,0,845
0VS80WG,1,657
7JNW5UM,0,840
05ZX6I0,0,651
IJCGL23,0,652
8FV9E9J,0,840
8FV9E9J,1,657
P6AGRCI,0,840
P6AGRCI,1,844
P6AGRCI,2,849
P6AGRCI,3,664
P6AGRCI,4,669
P6AGRCI,5,673
P6AGRCI,6,678
ZGVSAWB,0,842
3NLTKZY,0,653
T4KFN2S,0,651
0SGU6ID,0,841
0SGU6ID,1,656
G6WAGNO,0,651
IAI3KE5,0,651
RGI1ZGX,0,652
OTI81SB,0,840
OTI81SB,1,655
OTI81SB,2,660
DUXSR0Q,0,652
DUXSR0Q,1,656
RPC2SEK,0,842
RPC2SEK,1,654
8W12NDW,0,841
8W12NDW,1,844
8W12NDW,2,660
8W12NDW,3,663
8W12NDW,4,668
8W12NDW,5,672
NX97P1X,0,653
YJ8M3X3,0,651
YJ8M3X3,1,657
WR5UDC4,0,652
S3GX47E,0,840
S3GX47E,1,656
S3GX47E,2,660
4CWFVET,0,652
EI6EXSY,0,652
0UYR7H0,0,840
0UYR7H0,1,655
A0JRZ00,0,840
A0JRZ00,1,656
A7Z7T3E,0,842
A7Z7T3E,1,657
A7Z7T3E,2,661
PW23KST,0,841
PW23KST,1,657
PW23KST,2,661
5BUUXH8,0,653
ERGY61H,0,842
L69B999,0,653
BWQTU8J,0,652
I4CZWDZ,0,651
HAD455G,0,666
DHPK2P5,0,651
8SB4A3B,0,652
9T1P8GV,0,840
QWQJWEZ,0,840
XPVXU7I,0,652
D3XMR5N,0,840
D3XMR5N,1,844
D3XMR5N,2,660
SSPCRNU,0,840
SSPCRNU,1,655
YZXV88L,0,843
YZXV88L,1,657
YZXV88L,2,660
K1GAGKY,0,651
RXWFSA1,0,651
OZ2EOJ2,0,653
1T75MOL,0,841
MLTEW38,0,841
3LV5Y9J,0,839
3LV5Y9J,1,845
3LV5Y9J,2,850
3LV5Y9J,3,665
HIAQKIE,0,840
HIAQKIE,1,656
HIAQKIE,2,661
QE6OR5B,0,652
GQJC55X,0,839
GQJC55X,1,655
QHVWU90,0,839
QHVWU90,1,655
5X7BX44,0,840
ZROHURP,0,652
ZROHURP,1,656
ADUKEA2,0,481
4276XUU,0,842
4276XUU,1,844
4276XUU,2,660
4276XUU,3,665
79S7G9X,0,842
79S7G9X,1,656
9JVPT9J,0,839
9JVPT9J,1,656
AI6DCWH,0,652
