Cid,Locnum,Loctype,Clatitude,Clongitude,Vid
DEY1WO8,0.0,1.0,-0.466067559,0.076356805,86.0
B9XTWOO,3.0,3.0,-0.630608472,0.163187203,197.0
0NWNTQR,0.0,1.0,0.514715034,0.56785609,28.0
GGDADOR,0.0,2.0,-0.747950235,0.072503416,81.0
OMTH6UK,2.0,2.0,-0.126173981,0.584739153,43.0
6VQHZNH,0.0,1.0,-0.836410104,-0.06307033,193.0
VW6Q7JZ,0.0,4.0,0.071683059,0.529055776,157.0
2P5KNLL,1.0,1.0,-0.855184614,0.066121739,154.0
YDDOMI4,0.0,4.0,-0.614521056,0.061719953,90.0
BRS06RC,0.0,1.0,-0.487045768,0.062771264,86.0
SYKS7TM,0.0,1.0,-0.523012165,0.180861612,78.0
QO1LZ3Y,2.0,2.0,-0.590496623,0.163370715,197.0
AAKPF0X,0.0,2.0,0.252416599,0.508076701,856.0
EG0H3K6,0.0,2.0,-0.538081578,0.072242815,86.0
KVFAFBL,1.0,3.0,-0.839549096,0.106740633,154.0
X6FWXXL,3.0,1.0,0.069881929,0.545001484,157.0
EF48ORQ,1.0,2.0,-0.367294749,0.648142348,20.0
3FAVJ8F,0.0,2.0,-0.430350309,0.694018715,176.0
ICN6274,4.0,4.0,0.0491647,0.578302708,110.0
ICN6274,6.0,1.0,2.318619495,0.707623152,199.0
ICN6274,7.0,1.0,-0.177110559,0.492990732,67.0
ICN6274,8.0,1.0,-0.625872094,0.076456626,90.0
E1768DZ,0.0,2.0,-0.516693237,0.754208912,33.0
ZXLD31H,0.0,4.0,-0.600934917,0.03085054,145.0
4KL52WM,2.0,2.0,-1.269042297,0.120075312,843.0
4KL52WM,3.0,2.0,-0.917446919,0.15898597,83.0
QFJVD79,0.0,2.0,0.563375,0.531729773,115.0
QFJVD79,1.0,2.0,0.225484615,0.596959091,76.0
V5Y0XX2,0.0,4.0,0.324967798,0.559278702,274.0
DMMRQR6,0.0,2.0,0.499822011,0.576585738,28.0
OM6MQ0X,0.0,2.0,0.669136704,0.537739427,79.0
7NT98O6,0.0,2.0,-0.017655737,0.520382792,110.0
59EZIQ2,1.0,1.0,-0.489841532,0.114494801,148.0
K5HXF82,1.0,2.0,-1.191541484,0.120938047,55.0
DFSSU6H,0.0,2.0,-0.457790836,0.105762807,148.0
ZUGDKX7,0.0,2.0,-0.858956105,-0.064697077,193.0
FRRFECM,2.0,2.0,-0.623488683,0.100504776,90.0
FRRFECM,4.0,2.0,-0.623101918,0.198218194,197.0
611TEWT,1.0,2.0,-0.98940107,0.080619273,84.0
611TEWT,2.0,3.0,-0.51448082,0.079163219,86.0
HPERFQJ,2.0,2.0,-0.079933359,0.58354729,676.0
UM3XCVL,1.0,2.0,-0.56229567,0.124667939,583.0
FQRK4ZJ,0.0,4.0,0.079238064,0.625675497,547.0
EDSF1E5,0.0,3.0,-0.447901016,0.071765058,148.0
QJL25LB,0.0,2.0,-0.084636538,0.569334318,43.0
E40FE9A,2.0,3.0,0.067561346,0.552559614,157.0
4YZ3BIK,0.0,1.0,0.074020531,0.624304118,547.0
3FYVRNN,2.0,1.0,0.548036064,0.552458811,115.0
CL0FQYI,0.0,2.0,0.59579004,0.550748903,106.0
SLFPO4R,0.0,4.0,-0.47587443,0.123531224,846.0
UATDPNR,0.0,2.0,0.263357172,0.576901203,76.0
I1N3Q8W,0.0,2.0,-0.095626605,0.619114753,134.0
X2DX17F,1.0,2.0,-0.64299778,0.727020529,391.0
U6NJRW8,0.0,4.0,-0.155456208,0.530450219,43.0
KZ5AP3A,1.0,2.0,-0.703384423,0.091511523,81.0
9TBEXT9,0.0,2.0,0.484531398,0.517368342,28.0
IT8BU3Z,0.0,1.0,0.655345682,0.542229651,79.0
6QYO8C9,1.0,2.0,-1.820356238,-0.00598256,196.0
CNWHXE7,0.0,2.0,-0.686522029,0.069655093,81.0
YO7B3JU,4.0,2.0,-0.603125999,0.715937262,4.0
YO7B3JU,5.0,2.0,-0.042404485,0.649567393,104.0
VI1TE88,3.0,2.0,-1.240709216,0.063579038,304.0
FLRXURE,0.0,3.0,0.331025718,0.544972068,274.0
79B9ELP,0.0,1.0,-0.421451923,0.072322955,846.0
YI9SQ2M,2.0,2.0,-0.109204705,0.505397425,43.0
YI9SQ2M,3.0,4.0,-0.13413366,0.52810875,43.0
XDRSMB0,1.0,1.0,-1.276428397,0.090290534,843.0
ZF5A69H,0.0,2.0,-0.465388172,0.073202924,86.0
K386T3K,2.0,4.0,-0.520754685,0.02419927,86.0
OEMAW6J,0.0,4.0,-0.768778422,0.229953657,577.0
PXWUVVX,0.0,1.0,-0.067129347,0.51553729,149.0
K0BUXEM,0.0,1.0,-0.066875275,0.600266139,134.0
OX2LQP6,0.0,2.0,-0.006294641,0.546003217,110.0
KZCDWM4,0.0,3.0,-0.544024562,0.76602437,23.0
794BTM0,0.0,1.0,-0.937429591,0.153457361,83.0
T1UOQG7,0.0,3.0,-0.214621177,0.494679829,67.0
T1UOQG7,1.0,3.0,-0.013787041,0.552737712,110.0
KA2N5G0,2.0,2.0,-0.298526908,0.739547362,271.0
KA2N5G0,3.0,2.0,-0.214327247,0.489650925,67.0
KA2N5G0,5.0,2.0,-0.650777319,0.737209673,391.0
DNSZ3Y2,0.0,1.0,-0.125110262,0.143194101,845.0
3WWJQ9X,2.0,1.0,-0.414787669,0.667088806,20.0
BFRQFQW,1.0,2.0,0.01748485,0.5703992,110.0
ONDL0CF,0.0,1.0,0.639236304,0.526499295,79.0
GZBEJMS,3.0,1.0,-0.759008025,0.227087501,577.0
8M43Q2E,2.0,2.0,0.290582034,0.542552926,274.0
B42TA89,0.0,1.0,-0.085318709,0.655212437,134.0
YZ8ZT7C,1.0,2.0,-0.86875841,0.107552725,154.0
2CQRKQD,0.0,3.0,-0.859910051,0.12094472,154.0
2CQRKQD,1.0,1.0,-0.781496172,0.093683723,225.0
QM2QQCB,0.0,2.0,-0.45598709,0.656830319,82.0
PYNKRIG,1.0,2.0,0.56642833,0.549489332,115.0
8ANDERE,1.0,2.0,-0.529112684,0.759251335,33.0
8ANDERE,2.0,2.0,-0.093793633,0.60447559,676.0
6CFEE2Z,0.0,1.0,-0.470885713,0.747344282,13.0
RZADMVD,0.0,1.0,-0.539357607,0.177143095,78.0
I2SDJ5X,0.0,1.0,-0.663041989,0.11857215,398.0
UKHBTQA,4.0,4.0,0.03824015,0.537862147,110.0
5QEZA29,0.0,3.0,-0.883743843,0.084702895,154.0
MPFUZ5T,1.0,1.0,0.658699779,0.542330556,79.0
9L6IIGT,0.0,1.0,-0.441049425,0.672414961,20.0
ORWCCE8,1.0,3.0,0.579862097,0.560833856,115.0
QDL5PLQ,0.0,4.0,0.039738878,0.579940155,110.0
O9VEBV3,0.0,2.0,-0.581418965,0.753572672,4.0
QF0M2N0,1.0,2.0,-0.543353759,0.037493772,537.0
CPY3OCM,0.0,1.0,0.593907865,0.529836245,79.0
CPY3OCM,1.0,1.0,0.286289601,0.541525952,274.0
QIZVIMC,1.0,3.0,-0.667138401,0.084892756,398.0
QIZVIMC,2.0,1.0,0.007469,0.483362492,303.0
QISKOXC,3.0,1.0,-0.026361029,0.542629315,110.0
BX6VS8W,1.0,2.0,-0.093895389,0.151300163,845.0
N6YOY1U,2.0,2.0,-0.051679503,0.644610066,104.0
C26R5MM,1.0,4.0,-1.604576826,-0.089821735,849.0
AVZ1SDQ,0.0,3.0,-0.595090381,0.761535703,4.0
NCZYW63,0.0,2.0,-0.093977341,0.160870422,845.0
GHKAFKI,0.0,3.0,0.656173077,0.523308409,79.0
AIAD0PL,0.0,1.0,-0.043648263,0.524015966,149.0
5INT3QI,0.0,1.0,0.276894022,0.56800094,76.0
RNM3XPH,0.0,4.0,-0.422503691,0.639623746,20.0
RNM3XPH,2.0,1.0,0.217767075,0.506027104,856.0
JWTA659,0.0,2.0,-0.876348599,0.109307591,154.0
QDEX1JM,0.0,3.0,-0.053461538,0.553994545,149.0
ZY8AG3T,2.0,2.0,-0.542051644,0.033750711,537.0
15EAAA7,0.0,4.0,-0.51337019,0.78492861,250.0
BTJWTSV,0.0,1.0,0.315655787,0.546847999,274.0
UN3JIZS,0.0,1.0,0.478055827,0.519594908,28.0
UN3JIZS,2.0,2.0,-0.007008118,0.535787206,110.0
UN3JIZS,3.0,2.0,0.571381026,0.562916378,115.0
ULXZC3L,1.0,2.0,-0.072849857,0.643457804,104.0
UAEX1G1,0.0,2.0,-0.538938172,0.177142333,78.0
C21GHC5,0.0,2.0,-0.637574509,0.042936633,145.0
XAA9U5J,2.0,2.0,-0.120210334,0.143225519,845.0
XAA9U5J,3.0,2.0,0.535518524,0.527510457,115.0
XAA9U5J,4.0,3.0,-0.131503267,0.588182483,676.0
5FM0GD9,1.0,1.0,0.017608024,0.586328558,110.0
BZ6XCS4,3.0,2.0,0.045059615,0.519284773,110.0
BZ6XCS4,4.0,4.0,-0.039171154,0.4846525,149.0
6UCZKRB,0.0,1.0,-1.576805513,-0.033968837,849.0
NIIGM4R,2.0,2.0,-0.976147334,0.061252019,44.0
6AHV7M8,1.0,1.0,-0.806033597,0.14100079,299.0
6AHV7M8,2.0,2.0,-0.049816944,0.631753901,104.0
JWCRZES,0.0,2.0,0.249583432,0.502860309,856.0
LX88109,1.0,1.0,-0.102923885,0.163930285,845.0
KXGTTXE,6.0,2.0,0.575825041,0.528174992,106.0
8K2L5J3,1.0,2.0,-0.955000286,0.141753063,83.0
MHQ5O5N,0.0,1.0,0.292143131,0.570163678,76.0
CAOEW2M,0.0,2.0,-1.069919642,0.071901903,180.0
6DF9MQC,4.0,2.0,-0.626245346,0.162612568,197.0
6DF9MQC,5.0,2.0,-0.686829203,0.079132739,81.0
FIAU686,1.0,2.0,-0.933421183,0.066310174,44.0
BEREUC3,0.0,2.0,0.2594796,0.51843419,856.0
98YV4UE,0.0,2.0,0.026283134,0.630320939,547.0
T7IBX2V,0.0,2.0,-0.118766846,0.530309294,43.0
90W0EIN,2.0,3.0,0.678384329,0.523446389,79.0
BLFQPFX,1.0,1.0,-0.195245551,0.498795338,67.0
LPLOQU7,0.0,1.0,2.2540701,0.71610484,243.0
FGW5YZE,0.0,2.0,-0.428924509,0.136353447,846.0
4PQ19OI,2.0,2.0,-0.123319982,0.606313301,676.0
4PQ19OI,4.0,2.0,-0.727056897,0.224806406,577.0
2UBQBES,0.0,1.0,0.497127063,0.556938557,28.0
2UBQBES,2.0,1.0,0.672724303,0.527567607,79.0
6OB37ES,0.0,2.0,-0.731424389,0.073973805,81.0
BPZPAPX,1.0,2.0,-0.110747944,0.140670596,845.0
Z3MGYH7,2.0,2.0,-0.377710297,0.627607588,20.0
Z3MGYH7,3.0,1.0,-0.572343331,0.18492486,78.0
8B5GDE0,0.0,4.0,0.480524894,0.518624085,28.0
XWSN6H0,0.0,3.0,-0.776971425,0.230996061,577.0
V01YE92,1.0,2.0,0.009358544,0.498732063,201.0
MI3TZSK,2.0,2.0,0.655956607,0.556735868,79.0
SAA4QB4,0.0,4.0,-0.024757692,0.552048182,110.0
S35IQPQ,0.0,2.0,0.025673615,0.526915342,110.0
N8D4VFZ,1.0,2.0,-0.988752197,-0.100087823,459.0
5ZB40TM,2.0,1.0,-3.22e-05,0.653219193,104.0
5ZB40TM,3.0,3.0,2.240626233,0.704527871,243.0
9BCHPN7,0.0,1.0,-1.014249784,0.084279228,84.0
VCAW706,0.0,2.0,-0.777833845,0.082704192,225.0
7XW01SL,0.0,1.0,-0.05454076,0.525611055,149.0
4A780VX,1.0,1.0,-0.02916218,0.546651162,149.0
54BR9D0,1.0,2.0,-0.935232331,0.064052171,44.0
LNYJ1D5,0.0,1.0,-0.046574383,0.631382705,104.0
QVMUDE8,0.0,1.0,-0.539694337,0.188043379,78.0
GMPY44K,0.0,2.0,-0.540471818,0.745536893,250.0
2NX91EL,0.0,3.0,0.295215821,0.545648432,274.0
XSIUCY8,0.0,1.0,-0.651796533,0.092448454,398.0
W9ZUJ4U,0.0,2.0,-0.966596668,0.111181235,44.0
W9ZUJ4U,2.0,1.0,-0.133894463,0.143036843,845.0
FLOTQKG,0.0,2.0,0.566060322,0.546796858,115.0
8OQCQY0,0.0,2.0,-0.499404575,0.699224412,33.0
8OQCQY0,1.0,2.0,-0.015473077,0.478814318,303.0
